547,639,555,653,941,0,0,0
639,916,653,941,1438,0,0,0
916,1399,941,1438,2118,0,0,0
1399,2062,1438,2118,2927,0,0,0
2062,2863,2118,2927,5578,0,0,0
2863,5494,2927,5578,6165,0,0,0
5494,6070,5578,6165,8235,0,0,0
6070,8124,6165,8235,9925,0,0,2
8124,9783,8235,9925,12038,0,2,2
9783,11871,9925,12038,16787,2,2,2
11871,16607,12038,16787,19881,2,2,2
16607,19693,16787,19881,23892,2,2,2
19693,23680,19881,23892,27636,2,2,2
23680,27409,23892,27636,30818,2,2,2
27409,30553,27636,30818,34392,2,2,3
30553,34075,30818,34392,37121,2,3,3
34075,36778,34392,37121,40151,3,3,3
36778,39790,37121,40151,42763,3,3,3
39790,42306,40151,42763,44803,3,3,3
42306,44327,42763,44803,45222,3,3,3
44327,44699,44803,45222,60370,3,3,3
44699,59832,45222,60370,66887,3,3,3
59832,66292,60370,66887,69032,3,3,3
66292,68347,66887,69032,71226,3,3,3
68347,70446,69032,71226,73260,3,3,3
70446,72364,71226,73260,75138,3,3,3
72364,74139,73260,75138,75641,3,3,3
74139,74546,75138,75641,76199,3,3,3
74546,74999,75641,76199,76843,3,3,20
74999,75472,76199,76843,78599,3,20,62
75472,76922,76843,78599,78985,20,62,155
76922,76938,78599,78985,79570,62,155,229
76938,77152,78985,79570,80415,155,229,322
77152,77660,79570,80415,81397,229,322,453
77660,78065,80415,81397,82756,322,453,655
78065,78498,81397,82756,84124,453,655,888
78498,78824,82756,84124,86013,655,888,1128
78824,79251,84124,86013,88371,888,1128,1694
79251,79826,86013,88371,90309,1128,1694,2036
79826,80026,88371,90309,92844,1694,2036,2502
80026,80151,90309,92844,95124,2036,2502,3089
