547	639	555	653	941
639	916	653	941	1438
916	1399	941	1438	2118
1399	2062	1438	2118	2927
2062	2863	2118	2927	5578
2863	5494	2927	5578	6165
5494	6070	5578	6165	8235
6070	8124	6165	8235	9925
8124	9783	8235	9925	12038
9783	11871	9925	12038	16787
11871	16607	12038	16787	19881
16607	19693	16787	19881	23892
19693	23680	19881	23892	27636
23680	27409	23892	27636	30818
27409	30553	27636	30818	34392
30553	34075	30818	34392	37121
34075	36778	34392	37121	40151
36778	39790	37121	40151	42763
39790	42306	40151	42763	44803
42306	44327	42763	44803	45222
44327	44699	44803	45222	60370
44699	59832	45222	60370	66887
59832	66292	60370	66887	69032
66292	68347	66887	69032	71226
68347	70446	69032	71226	73260
70446	72364	71226	73260	75138
72364	74139	73260	75138	75641
74139	74546	75138	75641	76199
74546	74999	75641	76199	76843
74999	75472	76199	76843	78599
75472	76922	76843	78599	78985
76922	76938	78599	78985	79570
76938	77152	78985	79570	80415
77152	77660	79570	80415	81397
77660	78065	80415	81397	82756
78065	78498	81397	82756	84124
78498	78824	82756	84124	86013
78824	79251	84124	86013	88371
79251	79826	86013	88371	90309
79826	80026	88371	90309	92844
80026	80151	90309	92844	95124
